Year,Month,Carrier,Carrier_Name,Arrival Flights,Delays,Employees,Passengers,Delays_Over_Flights,Employees_Over_Flights,Passengers_Over_Flights
2016,9,OO,SkyWest_Airlines,48976,1284,11418,2557786,0.026216923,0.233134597,52.22529402
2016,9,UA,United_Air_Lines,46935,2259,87348,8318827,0.048130393,1.861041866,177.2414403
2016,9,WN,Southwest_Airlines,104083,3970,54021,12302964,0.038142636,0.519018476,118.2033954
2016,9,YV,Mesa_Airlines,0,0,0,0,0,0,0
2016,9,YX,Republic_Airline,0,0,0,0,0,0,0
2016,8,9E,Endeavor,0,0,0,0,0,0,0
2016,8,AA,American_Airlines,80241,6113,104900,12704813,0.076182999,1.307311723,158.3331838
2016,8,AS,Alaska_Airlines,16455,460,11970,2299198,0.027955029,0.727438469,139.7264053
2016,8,B6,JetBlue_Airways,24728,1979,18691,3503468,0.080030734,0.755863798,141.6802006
2016,8,DL,Delta_Air_Lines,84540,5936,85758,12681279,0.070215283,1.014407381,150.0033002
2016,8,F9,Frontier_Airlines,8931,778,3201,1387339,0.087112305,0.358414511,155.3397156
2016,8,G4,Allegiant_Air,0,0,0,0,0,0,0
2016,8,HA,Hawaiian_Airlines,7049,271,6059,974873,0.03844517,0.859554547,138.2994751
2016,8,MQ,Envoy_Air,0,0,0,0,0,0,0
2016,8,NK,Spirit_Air_Lines,11992,303,5478,1922554,0.025266845,0.456804536,160.3197131
2016,8,OH,PSA_Airlines,0,0,0,0,0,0,0
2016,8,OO,SkyWest_Airlines,54552,2163,11716,2819865,0.039650242,0.214767561,51.69132204
2016,8,UA,United_Air_Lines,49758,3083,87208,9289824,0.061959886,1.752642791,186.7001085
2016,8,WN,Southwest_Airlines,110775,5761,53757,12919768,0.052006319,0.485280975,116.6307199
2016,8,YV,Mesa_Airlines,0,0,0,0,0,0,0
2016,8,YX,Republic_Airline,0,0,0,0,0,0,0
2016,7,9E,Endeavor,0,0,0,0,0,0,0
2016,7,AA,American_Airlines,81678,6565,104819,13563881,0.080376601,1.283319866,166.065293
2016,7,AS,Alaska_Airlines,16256,466,11937,2288635,0.028666339,0.734313484,140.787094
2016,7,B6,JetBlue_Airways,24927,2399,18553,3526570,0.096241024,0.744293337,141.4759097
2016,7,DL,Delta_Air_Lines,83677,4699,85988,13400991,0.056156411,1.027618103,160.1514275
2016,7,F9,Frontier_Airlines,9019,793,3167,1454688,0.087925491,0.351147577,161.2914957
2016,7,G4,Allegiant_Air,0,0,0,0,0,0,0
2016,7,HA,Hawaiian_Airlines,7022,378,5991,1016019,0.053830817,0.853175733,144.6908288
2016,7,MQ,Envoy_Air,0,0,0,0,0,0,0
2016,7,NK,Spirit_Air_Lines,11995,216,5438,1980551,0.018007503,0.453355565,165.1147145
2016,7,OH,PSA_Airlines,0,0,0,0,0,0,0
2016,7,OO,SkyWest_Airlines,54964,2331,11716,2882727,0.042409577,0.213157703,52.44754749
2016,7,UA,United_Air_Lines,48049,3152,87012,9552576,0.0655997,1.810901372,198.8090491
2016,7,WN,Southwest_Airlines,115208,9070,53439,13630005,0.078727172,0.463847997,118.3077998
2016,7,YV,Mesa_Airlines,0,0,0,0,0,0,0
2016,7,YX,Republic_Airline,0,0,0,0,0,0,0
2016,6,9E,Endeavor,0,0,0,0,0,0,0
2016,6,AA,American_Airlines,79648,6277,104675,13146977,0.078809261,1.314220068,165.0634919
2016,6,AS,Alaska_Airlines,15730,458,11946,2176140,0.029116338,0.759440559,138.3432931
2016,6,B6,JetBlue_Airways,23845,1818,18368,3283542,0.076242399,0.770308241,137.7035857
2016,6,DL,Delta_Air_Lines,81517,4103,86168,13096982,0.050333059,1.057055583,160.6656526
2016,6,F9,Frontier_Airlines,8107,455,3158,1283312,0.056124337,0.389539904,158.2967806
2016,6,G4,Allegiant_Air,0,0,0,0,0,0,0
2016,6,HA,Hawaiian_Airlines,6731,343,5945,948832,0.050958253,0.883226861,140.9644926
2016,6,MQ,Envoy_Air,0,0,0,0,0,0,0
2016,6,NK,Spirit_Air_Lines,11605,714,5403,1865246,0.061525205,0.465575183,160.7277897
2016,6,OH,PSA_Airlines,0,0,0,0,0,0,0
2016,6,OO,SkyWest_Airlines,52850,2073,11612,2838432,0.039224219,0.219716178,53.70732261
2016,6,UA,United_Air_Lines,46424,2865,86542,9087550,0.061713769,1.864165087,195.7511201
2016,6,WN,Southwest_Airlines,112286,7723,53188,13624009,0.068779723,0.473683273,121.3331048
2016,6,YV,Mesa_Airlines,0,0,0,0,0,0,0
2016,6,YX,Republic_Airline,0,0,0,0,0,0,0
